iter	Passed	Remaining
776	5305	1522
777	5307	1514
778	5309	1506
779	5311	1498
780	5314	1490
781	5316	1482
782	5318	1473
783	5320	1465
784	5322	1457
785	5324	1449
786	5329	1442
787	5332	1434
788	5334	1426
789	5336	1418
790	5338	1410
791	5340	1402
792	5343	1394
793	5344	1386
794	5346	1378
795	5348	1370
796	5350	1362
797	5353	1355
798	5356	1347
799	5358	1339
800	5360	1331
801	5364	1324
802	5366	1316
803	5368	1308
804	5369	1300
805	5371	1292
806	5373	1285
807	5375	1277
808	5377	1269
809	5379	1261
810	5382	1254
811	5384	1246
812	5386	1239
813	5389	1231
814	5391	1223
815	5393	1216
816	5395	1208
817	5397	1200
818	5399	1193
819	5401	1185
820	5403	1178
821	5406	1170
822	5408	1163
823	5410	1155
824	5412	1148
825	5414	1140
826	5416	1133
827	5418	1125
828	5420	1118
829	5423	1110
830	5425	1103
831	5427	1096
832	5430	1088
833	5432	1081
834	5434	1073
835	5436	1066
836	5437	1059
837	5440	1051
838	5442	1044
839	5444	1036
840	5445	1029
841	5447	1022
842	5449	1014
843	5451	1007
844	5453	1000
845	5457	993
846	5460	986
847	5462	979
848	5464	971
849	5466	964
850	5468	957
851	5472	950
852	5474	943
853	5475	936
854	5477	928
855	5480	921
856	5481	914
857	5484	907
858	5492	901
859	5495	894
860	5497	887
861	5499	880
862	5501	873
863	5503	866
864	5506	859
865	5509	852
866	5511	845
867	5513	838
868	5516	831
869	5519	824
870	5521	817
871	5523	810
872	5527	804
873	5530	797
874	5532	790
875	5534	783
876	5538	776
877	5540	769
878	5542	762
879	5545	756
880	5549	749
881	5563	744
882	5566	737
883	5568	730
884	5572	724
885	5574	717
886	5576	710
887	5578	703
888	5582	697
889	5589	690
890	5592	684
891	5593	677
892	5596	670
893	5598	663
894	5600	657
895	5602	650
896	5604	643
897	5606	636
898	5608	630
899	5609	623
900	5611	616
901	5613	609
902	5615	603
903	5617	596
904	5626	590
905	5628	583
906	5630	577
907	5632	570
908	5634	564
